What is infrastructure as code (IaC)?	Defining, deploying, updating, and destroying infrastructure through code rather than manual steps.
What is OIDC used for in Terraform automation?	To let an external CI system authenticate to a cloud provider and assume a role without storing long-lived credentials.
Why is OIDC attractive for Terraform CI/CD pipelines?	It avoids manually managed permanent secrets by using trusted identity federation and temporary credentials.
What is the encrypted-files approach for Terraform secrets?	Store ciphertext in version control and decrypt it inside Terraform or adjacent tooling when needed.
What is an advantage of encrypted secret files in Terraform workflows?	Secrets are versioned alongside the code, reducing environment drift and configuration mismatches.
What is a drawback of encrypted secret files for Terraform workflows?	Editing, rotating, and testing them is more awkward, and revoking access is hard if an encryption key is compromised.
What is the secret-store approach for Terraform secrets?	Read secrets from a centralized service such as AWS Secrets Manager or Vault at runtime via data sources or API-backed tooling.
What is a major advantage of centralized secret stores?	They usually support audit logs, easier rotation, revocation, and more standardized secret-handling practices.
What is a major drawback of centralized secret stores?	They add external dependencies, cost, and authentication complexity for apps, automation, and tests.
What important Terraform gotcha applies no matter how you source secrets?	Any secrets passed into resources or data sources can end up in plain text in Terraform state.
How should Terraform state and plan files be protected if secrets may be present?	Secrets can end up in both state and saved plan files, so store them in encrypted locations and strictly limit access to the backend or storage location.
Why do infrastructure projects often take much longer than expected?	They combine immature tooling, frequent yak shaving, and a long checklist of real production requirements.
What is accidental complexity in infrastructure work?	Complexity caused by particular tools, processes, or incidental implementation choices rather than the core problem itself.
What is essential complexity in infrastructure work?	Complexity that comes from the real production requirements of the system itself and cannot be avoided by better tooling alone.
What is yak shaving in DevOps work?	Having to complete many unexpected prerequisite tasks before you can finish the task you originally meant to do.
Why are large Terraform modules considered harmful?	They are slower, riskier, harder to secure, harder to understand, harder to review, and harder to test.
What is the recommended size principle for Terraform modules?	Prefer small modules that each do one thing well.
Why can a single huge Terraform module be insecure?	Changing anything may require broad access to everything it manages, violating least privilege.
Why are small Terraform modules easier to review safely?	The plan output and code changes stay small enough that humans can realistically read and reason about them.
What makes Terraform modules composable?	Passing data in through input variables, returning useful output values, and combining simple modules into higher-level modules.
Why is writing example usage first a good Terraform module design practice?	It helps define a cleaner API and user experience before implementation details dominate the design.
What is the purpose of an `examples/` folder for Terraform modules?	To provide executable examples that serve as documentation, manual test harnesses, and the basis for automated tests.
What is the purpose of a `test/` folder in a Terraform modules repo?	To hold automated tests that exercise the module examples and verify expected behavior.
Why are validation, precondition, and postcondition checks useful in production-grade modules?	They let the module fail earlier and more clearly when assumptions or guarantees are violated.
When should you use input variable validation in Terraform modules?	For basic input sanitization that can be checked directly from one variable's value.
When should you use preconditions in Terraform modules?	To check assumptions before apply when the condition depends on more than a single variable or on dynamic data.
When should you use postconditions in Terraform modules?	To enforce guarantees about the deployed result after Terraform has created or read the resource.
What Terraform dependencies should typically be version-pinned, and why?	Terraform core, providers, and reusable modules should be version-pinned to make deployments predictable and repeatable and avoid accidental upgrades.
Why might teams pin Terraform core to an exact minor or patch version too?	To roll out upgrades intentionally and keep developer workstations and CI on the same behavior.
What problem does `tfenv` solve in Terraform workflows?	It makes it easier to install and switch between multiple Terraform CLI versions.
What does a `.terraform-version` file do with `tfenv`?	It tells `tfenv` which Terraform version to use automatically in that folder tree.
What is the purpose of `.terraform.lock.hcl`?	It records exact provider versions and checksums so future `terraform init` runs use the same trusted provider builds.
Why should `.terraform.lock.hcl` be checked into version control?	It makes provider selection repeatable across machines and helps detect tampered provider binaries.
How do you intentionally upgrade locked Terraform providers?	Update the version constraint and run `terraform init -upgrade`.
What is one benefit of versioning Terraform modules with Git tags and semantic versioning?	You can promote known-good module versions across environments and roll back if needed.
Why can registry-style module sources be clearer than raw Git URLs?	They separate the module source address from the version number and make version selection easier to read.
What is a Terraform provisioner used for?	To execute scripts or copy files during resource creation or destruction.
Why are provisioners often considered an escape hatch in Terraform?	They break out of Terraform's normal declarative model and can make code less portable and more brittle.
What is the difference between `local-exec` and `remote-exec` provisioners?	`local-exec` runs on the Terraform client machine, while `remote-exec` runs on the target resource after connecting to it.
Why is User Data often preferable to `remote-exec` on EC2?	It is easier to use with ASGs, safer than opening SSH, and leaves clearer debugging artifacts on the instance.
What is a `null_resource` used for in Terraform?	To participate in Terraform lifecycle logic and run provisioners without managing a real infrastructure object.
What does the `triggers` argument on a `null_resource` do?	It forces the resource to be replaced when the trigger values change, which can re-run attached provisioners.
What is the `external` data source used for in Terraform?	To call an external program that exchanges JSON with Terraform so Terraform can read data it cannot fetch natively.
Why should Terraform escape hatches such as provisioners and `external` be used conservatively?	They increase brittleness, reduce portability, and make the configuration harder to reason about declaratively.
Why can't Terraform testing use localhost?	Terraform usually manages real external infrastructure, so meaningful tests must target a real environment rather than the local machine.
What is the practical equivalent of localhost for Terraform testing?	An isolated real deployment environment, such as a sandbox cloud account.
Why is a per-developer isolated sandbox environment ideal for manual Terraform testing?	It lets each developer create and destroy infrastructure freely without conflicting with others or risking shared environments.
Why should Terraform sandbox environments be cleaned up regularly?	To prevent abandoned resources from increasing cost, clutter, and operational confusion.
What is a common automated cleanup strategy for Terraform sandbox environments?	Run scheduled cleanup tooling that deletes old or unused resources after a defined age threshold.
Why can't Terraform modules have pure unit tests?	Their behavior depends heavily on real provider APIs and deployed infrastructure, so fully isolated in-memory tests are usually impractical.
What is the closest Terraform equivalent to a unit under test?	A single reusable Terraform module.
Why are Terraform unit tests effectively integration tests with real providers?	They still rely on real cloud APIs and real infrastructure even when they focus on a single module.
What is Terratest commonly used for in Terraform workflows?	To automate apply, validation, and destroy flows for infrastructure tests in Go.
Why should a Terraform test usually schedule cleanup before running apply?	So cleanup still happens if later test steps fail.
Why do infrastructure tests often need retry logic during validation?	Because deployments, health checks, DNS updates, and provider behavior are often asynchronous or temporarily flaky.
What is dependency injection in Terraform module testing?	Designing modules so external dependencies can be passed in as input variables instead of always being looked up internally.
Why can optional input variables make Terraform modules easier to test?	They let tests inject mock or test-specific values in place of real external dependencies.
Why is it useful to isolate external dependencies in a dedicated Terraform file such as `dependencies.tf`?	It makes the module's outside-world assumptions easier to see, reason about, and replace in tests.
Why must Terraform test resources be namespaced?	To prevent parallel test runs or different users from colliding on global or account-level resource names.
How can Terraform tests avoid resource-name collisions when run in parallel?	Make names configurable and add a unique random suffix per test run.
Why can parallel tests against the same Terraform folder conflict even if resource names are unique?	They can overwrite each other's `.terraform` directory, temporary files, or local state during `init` and `apply`.
How can tests safely run the same Terraform example folder in parallel?	Copy the example to a unique temporary folder for each test run and execute Terraform there.
What is the purpose of test stages in Terraform integration tests?	To split a long test into named deploy, validate, and teardown phases that can be rerun selectively.
Why can test stages speed up iterative Terraform development?	They let you skip expensive setup or teardown work while repeatedly reapplying and validating only the part you are changing.
Why are retries on known Terraform or provider errors useful in infrastructure tests?	They reduce flaky failures from transient network, eventual-consistency, or provider-side issues.
Why are end-to-end tests that rebuild an entire infrastructure from scratch often impractical?	They are slow, expensive, and increasingly flaky as the number of resources grows.
What is a more practical end-to-end testing strategy for complex Terraform environments?	Maintain a persistent production-like test environment, apply incremental changes to it, and validate behavior there.
What is static analysis in Terraform testing, and what can it catch well?	Checking Terraform code without deploying it; it is good at finding syntax problems, type issues, and some policy violations visible directly in the configuration.
What is a key limitation of static analysis for Terraform?	It cannot prove that deployed infrastructure actually works and is weak at reasoning about dynamic runtime values.
What is plan testing in Terraform?	Running `terraform plan` and analyzing the planned changes programmatically or through policy checks.
What does plan testing validate better than pure static analysis?	It can inspect real provider reads and computed change data without actually creating resources.
What is the test pyramid for infrastructure code?	A strategy that favors many smaller tests, fewer integration tests, and only a small number of high-value end-to-end tests.
Why are smaller Terraform modules easier to test?	They require less infrastructure to deploy, produce fewer failure modes, and give faster, more focused feedback.
Why is adopting Terraform on a team more than just introducing a new tool?	It also changes team skills, habits, workflows, and deployment processes.
Why can adopting infrastructure as code have a high opportunity cost?	Time spent learning and migrating to IaC is time not spent on other urgent projects.
Why is incremental adoption of Terraform usually safer than a big-bang migration?	Small steps reduce risk and let each step deliver value even if the larger migration stalls.
What is false incrementalism in a migration project?	Breaking work into steps that still provide no real value until the very last step is complete.
What makes a good incremental Terraform adoption strategy?	Solve one small, concrete problem at a time so each step is independently worthwhile.
Why must teams be given time to learn Terraform for adoption to succeed?	Otherwise they will fall back to manual changes during pressure and the Terraform code will drift from reality.
What usually happens if only one person on a team understands the Terraform code?	Others will keep making manual changes, and the Terraform code will quickly become stale and untrusted.
What is the purpose of having separate live and modules repositories for Terraform?	One repo defines reusable versioned modules, while the other defines what is actually deployed in each environment.
Why can a dedicated infrastructure team create leverage with a Terraform modules repo?	They can build reusable, production-grade modules that other teams consume instead of rebuilding infrastructure from scratch.
What is the Golden Rule of Terraform?	The main branch of the live repository should be a 1:1 representation of what is actually deployed in production.
Why do Terraform workspaces make the 1:1 live-repo rule weaker for real environments?	Multiple deployed environments can share one code copy, so browsing the repo no longer shows exactly what exists.
Why should shared Terraform environments be deployed from a single branch?	Deploying the same environment from multiple branches can cause one branch's plan to silently undo valid changes already applied from another branch.
Why is `terraform apply` from a developer workstation usually the wrong production workflow for teams?	It is less consistent, harder to secure, and easier to misuse than a CI-driven deployment flow.
Why is reviewing the Terraform plan output valuable in team workflows?	It often reveals unintended deletes, replacements, or reversions before they affect real infrastructure.
Why should Terraform deployments run from a CI server?	It forces full automation, uses a consistent environment, and gives tighter control over deployment permissions.
Why is giving a CI server broad permanent admin credentials especially risky for Terraform?	Terraform may need arbitrary infrastructure permissions, so a compromised CI server could become a full-account compromise.
What is a safer permission pattern for team Terraform deployments?	Use temporary credentials and isolate admin privileges behind a separate locked-down worker that only exposes a narrow deployment API.
Why should Terraform changes be promoted across environments as versioned artifacts?	It lets teams test the exact same version in pre-prod before production and roll back more predictably.
What extra step is commonly worth adding to Terraform promotion flows compared with app deployment flows?	A human approval step that reviews the plan output before apply.
Why should Terraform changes always be tested in pre-production before production?	Terraform usually does not roll back infrastructure changes automatically when something goes wrong.
What are two common Terraform deployment failure cases teams should be prepared to handle?	Transient errors that need retries and failed state writes that leave behind `errored.tfstate`.
What is `errored.tfstate` used for after a failed Terraform apply?	It contains state Terraform could not upload, so you can later recover by pushing it to the backend.
When is `terraform force-unlock` appropriate?	Only when you are sure a state lock was left behind accidentally and no real operation is still using it.
What problem does Terragrunt help solve in a Terraform live repository?	It reduces repeated boilerplate for provider, backend, module source, and environment-specific input configuration.
How does Terragrunt typically keep backend configuration DRY across many live modules?	By defining shared remote-state settings in parent `terragrunt.hcl` files and inheriting them in child modules.
What does a Terragrunt `dependency` block provide?	A way to read outputs from another Terragrunt-managed module and pass them as inputs without hardcoding remote-state details in the module itself.
